DRUG SMILES,FRAG_SMILES
C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,CN1C(=O)c2cccc(N)c2C1=O
CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)N[C@@H](C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,COC1(C(C)=O)CCC(c2nc(C)cc(C)n2)CC1
CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,CCn1c(=O)c(C)cc2cnc(NC)cc21
CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,Cc1[nH]c2cc(F)cc3c2c1CCNC3=O
C1=CN=C(C=N1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1
CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,Cc1cc(C)c2c(C#N)cnn2c1
C[C@@H]1CN(C[C@@H](O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F,CC(=O)c1cccc(C)c1C
C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,Cc1nc2c(cc1F)c(C)nc(=O)n2C
CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5,CCc1ccc(C)cc1
CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,Cc1c(=O)n(C)c(C)c2c(=O)n(C)c(=O)n(C)c12
CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,Cc1ncnc2ccc(NC3=NC(C)(C)CO3)cc12
C[C@@H](C1=C(C(=O)C2=C(O1)C=CC(=C2)F)C3=CC(=CC=C3)F)N4C5=NC=NC(=C5C(=N4)C6=CC(=C(C=C6)OC(C)C)F)N,Cc1c(C(C)C)oc2ccc(F)cc2c1=O
CC[C@@H]1CN(C[C@@H]1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,CC[C@@H]1CN(C)C[C@@H]1c1cnc2cnc3[nH]ccc3n12
CC1=CC(=C(C(=O)N1)CNC(=O)C2=CC(=C3C(=C2C)O[C@@](O3)(C)C4CCC(CC4)N(C)C)Cl)C,CC(=O)c1cc(Cl)c2c(c1C)O[C@@](C)(C1CCC(N(C)C)CC1)O2
CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CCC1=C(c2ccc(Cl)cc2)CC(C)(C)CC1
C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,Cc1nn2c(c1C(N)=O)NCC[C@H]2C1CCN(C)CC1
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,CCc1cc(C(C)(C)C#N)cc(C(C)(C)C#N)c1
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,CC(c1ccc(C#N)cc1)c1ccc(C#N)cc1
CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,Cc1ccc(C(C)c2ccccc2)cc1
CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,Cc1ccc(C(C)c2ccccc2)cc1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,CCc1ccc(C)nc1
CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,CC(=O)c1c(C)c2cnc(C)nc2n(C)c1=O
CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,CC(=O)c1cc2cnc(C)nc2n1C
