name,SMILES
mol_154,O.O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
mol_155,ONc1nc2ccc(OC(F)(F)F)cc2s1
mol_156,COc1cc(C=CC(=O)N2CCN(CC(=O)NC(C)C)CC2)cc(OC)c1OC
mol_157,COc1ccc(S(=O)(=O)Nc2ccc(C=CC(=O)NO)cc2)cc1
mol_158,O=C(NN1CCCCCC1)NS(=O)(=O)c1ccc(Cl)cc1
mol_159,CCC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1
mol_160,CC(=O)c1ccc2c(c1)C(NC(=O)c1cc(F)cc(F)c1)C(O)C(C)(C)O2
mol_161,C[N+](C)(CCOc1ccc(N)cc1)CCc1ccc(Br)cc1
mol_162,CC(CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C
mol_163,COc1ccc(C2Sc3ccccc3N(CCN(C)C(C)C)C(=O)C2OC(C)=O)cc1
mol_164,CC(C)(C)C(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
mol_165,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1
mol_166,C=CC(=O)N1CC(N2CCN(C(=O)CNc3cc(C4CC4)c(Cl)cc3O)CC2)C1
mol_167,Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1
mol_168,Cc1nnc(-c2sc(NC(=O)C(C(C)C)n3c(=O)[nH]c4ccccc4c3=O)nc2C)o1
mol_169,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1
mol_170,O=C(c1ccccc1Nc1ccncc1)N1CCCCC1
mol_171,CC(=O)Oc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2
mol_172,O=[N+]([O-])c1cnc(-c2ccc(F)cc2)n1CCO
mol_173,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCCCC2)cc1
mol_174,O=C(Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1)c1cccs1
mol_175,CC(C)(C)C1NC(C(=O)NCCC(O)CO)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)c(F)cc12
mol_176,C#CC1(OCC(O)CN2CCN(c3ccccc3OC)CC2)CCCCC1
mol_177,CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
mol_178,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
mol_179,O=C(O)CCON=Cc1ccccc1C(F)(F)F
mol_180,COc1ccc(-c2nc(=O)n(CC3CC3)nc2-c2ccc(OC)cc2)cc1
mol_181,Cc1c(N(CNC(=O)c2cccnc2)C(C)C)c(=O)n(-c2ccccc2)n1C
mol_182,CCOC(=O)N(c1cccc(C(=O)c2ccccc2)c1)S(=O)(=O)C(F)(F)F
mol_183,CCCCOc1ccc(C(=O)OCCOCCN(CC)CC)cc1N
mol_184,CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
mol_185,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1
mol_186,CC(=O)N1CCN(Cc2ccc(C(C)Nc3nccc(N4C(=O)OCC4C(C)C)n3)cc2)CC1
mol_187,COc1cc(C(=O)c2cc(NS(C)(=O)=O)cc(-c3cccc4[nH]ccc34)c2)ccn1
mol_188,NC(Cc1cc(Br)c(O)c(Br)c1)C(=O)O
mol_189,CCOC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1.Cl
mol_190,O=C(NC(Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21
mol_191,COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(N)cc3)cc2)cc1
mol_192,CC(C)(C)OC(=O)NC(CC(=O)OC1CCCCC1)C(=O)O
mol_193,Clc1ccc(N2CCN(CC=Cc3ccccc3)CC2)nn1
mol_194,CCCCCC(O)C=CC1C=CC(=O)C1CCCCCCC(=O)C(=O)O
mol_195,O=C(N1CCCC1)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1
mol_196,CN1CCC(=C2c3ccccc3Oc3ncccc32)CC1
mol_197,Cl.Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
mol_198,c1ccc(C(c2ccccc2)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1
mol_199,CCCCCCCCC(O)C=CC=CC=CC(O)CCCC(=O)O
