SMILES,Canonical_SMILES
CCc1ccc2c(c1)OCO2,CCc1ccc2c(c1)OCO2
CC/C=C/[C@@H](O)CCCCCCCC,CCC=CC(O)CCCCCCCC
Cc1cccc(F)c1,Cc1cccc(F)c1
CCc1ccccc1,CCc1ccccc1
CC(=O)c1cnccn1,CC(=O)c1cnccn1
CCc1ccc(SC)cc1,CCc1ccc(SC)cc1
CN1CCC[C@H]1C#N,CN1CCCC1C#N
CNc1cc(C)ccc1C,CNc1cc(C)ccc1C
CC(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,CC(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1
CS(=O)(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],CS(=O)(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
CCC1c2ccccc2-c2ccccc21,CCC1c2ccccc2-c2ccccc21
CO,CO
CCCc1c[nH]c2ccc(C)cc12,CCCc1c[nH]c2ccc(C)cc12
Cc1ccc2[nH]cc(CCN)c2c1,Cc1ccc2[nH]cc(CCN)c2c1
Cc1ccc(C(C)C(F)(F)F)cc1,Cc1ccc(C(C)C(F)(F)F)cc1
CC[C@H](O)[C@H](N)CO,CCC(O)C(N)CO
CC(=O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1
CC(=O)C(C)CC(C)C,CC(=O)C(C)CC(C)C
CC(=O)Cc1ccccc1C,CC(=O)Cc1ccccc1C
Cc1ccc(C(C)C(F)(F)F)cc1,Cc1ccc(C(C)C(F)(F)F)cc1
Cc1ccc(C(C)C(F)(F)F)cc1,Cc1ccc(C(C)C(F)(F)F)cc1
CC(=O)[C@H](N)Cc1cc(I)c(O)c(I)c1,CC(=O)C(N)Cc1cc(I)c(O)c(I)c1
COCC1c2ccccc2-c2ccccc21,COCC1c2ccccc2-c2ccccc21
Cc1ccccc1,Cc1ccccc1
COC1(C)CC2(CO2)C(O)C(C=CC(C)C)O1,COC1(C)CC2(CO2)C(O)C(C=CC(C)C)O1
COCc1ccccc1,COCc1ccccc1
CCc1ccccc1,CCc1ccccc1
Cc1ccccc1,Cc1ccccc1
CCCc1c[nH]c2ccccc12,CCCc1c[nH]c2ccccc12
CC(=Nc1ccccc1)/N=C1\CCCN1C,CC(=Nc1ccccc1)N=C1CCCN1C
Cc1cccnc1,Cc1cccnc1
CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21,CCn1cc(C(C)=O)c(=O)c2cc(F)c(C)cc21
Cc1nncs1,Cc1nncs1
CC(=O)c1cnn2c(C)cc(C)nc12,CC(=O)c1cnn2c(C)cc(C)nc12
CCc1cccc(C(C)=O)c1,CCc1cccc(C(C)=O)c1
COc1cc2c(cc1O)C(=O)C(CC1CCN(C)CC1)C2,COc1cc2c(cc1O)C(=O)C(CC1CCN(C)CC1)C2
CCCC(c1ccccc1)c1cc(CO)ccc1O,CCCC(c1ccccc1)c1cc(CO)ccc1O
Cc1nc[nH]c1C,Cc1nc[nH]c1C
Cc1c[nH]c2ccc(Br)c(Cl)c12,Cc1c[nH]c2ccc(Br)c(Cl)c12
CCc1ccccc1,CCc1ccccc1
CCc1cc2ncnc(C)c2nc1NC,CCc1cc2ncnc(C)c2nc1NC
COc1cc(C)cc(OC)c1OC,COc1cc(C)cc(OC)c1OC
CC(=O)c1ccc(C(C)=O)cc1,CC(=O)c1ccc(C(C)=O)cc1
COc1ccc(C)cc1OC,COc1ccc(C)cc1OC
COC,COC
CCCc1c[nH]c2ccccc12,CCCc1c[nH]c2ccccc12
Cc1c2ccc(=[N+](C)C)cc-2oc2cc(N(C)C)ccc12,Cc1c2ccc(=[N+](C)C)cc-2oc2cc(N(C)C)ccc12
Cc1cc(C2=c3ccccc3=NC2=O)c(O)[nH]1,Cc1cc(C2=c3ccccc3=NC2=O)c(O)[nH]1
CC(=O)c1cc2scnc2c(F)c1C,CC(=O)c1cc2scnc2c(F)c1C
CC(=O)c1cn(C)c2cc(C)c(F)cc2c1=O,CC(=O)c1cn(C)c2cc(C)c(F)cc2c1=O
CC(=O)[C@@H](C)c1ccc(Cl)cc1,CC(=O)C(C)c1ccc(Cl)cc1
Cc1ccc(F)cc1,Cc1ccc(F)cc1
CNC1C(=O)N2C1SC(C)(C)C2C(C)=O,CNC1C(=O)N2C1SC(C)(C)C2C(C)=O
CN1CC[C@@H](P(=O)(O)O)C1,CN1CCC(P(=O)(O)O)C1
CCc1cc(NC)n(C)n1,CCc1cc(NC)n(C)n1
CN1C(=O)CCC1=O,CN1C(=O)CCC1=O
Cc1ccc(Cc2sc(=O)[nH]c2O)cc1,Cc1ccc(Cc2sc(=O)[nH]c2O)cc1
Cc1ccc([N+](=O)[O-])c2nonc12,Cc1ccc([N+](=O)[O-])c2nonc12
C=C(C)[C@H](CCC)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)[C@@H](O)C2=O,C=C(C)C(CCC)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)C(O)C2=O
CCC1CCCCC1,CCC1CCCCC1
CC(=O)C[C@H]1CCCc2c1n(C)c1c(F)cc(F)cc21,CC(=O)CC1CCCc2c1n(C)c1c(F)cc(F)cc21
CCC(=O)c1ccc(O)c(C(N)=O)c1,CCC(=O)c1ccc(O)c(C(N)=O)c1
COc1cccc(C)c1,COc1cccc(C)c1
CN1CCc2c(c3cccc(F)c3n2C)C1=O,CN1CCc2c(c3cccc(F)c3n2C)C1=O
CCc1ccc(CC)cc1,CCc1ccc(CC)cc1
COc1ccc2cc(C(C#N)OC)ccc2c1,COc1ccc2cc(C(C#N)OC)ccc2c1
CNc1cc(C)on1,CNc1cc(C)on1
CCc1ccc(CC)cc1,CCc1ccc(CC)cc1
CN1C(=O)CCC1=O,CN1C(=O)CCC1=O
CC(=O)c1ccc(Cl)c(Cl)c1,CC(=O)c1ccc(Cl)c(Cl)c1
CNc1ccc2oc3cc(S(C)(=O)=O)ccc3c2c1,CNc1ccc2oc3cc(S(C)(=O)=O)ccc3c2c1
CC(=O)C1COC(=O)C(Cc2ccccc2)N1,CC(=O)C1COC(=O)C(Cc2ccccc2)N1
COc1ccc(C(C)c2ccccc2)cc1,COc1ccc(C(C)c2ccccc2)cc1
Cc1cc(C)c2c(=O)cc(C)oc2c1,Cc1cc(C)c2c(=O)cc(C)oc2c1
CO[C@]1(C(C)=O)CCC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,COC1(C(C)=O)CCCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
CC(=O)c1cccnc1,CC(=O)c1cccnc1
CNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
Cc1ccccc1,Cc1ccccc1
CCCc1c(C)[nH]c2cc(OC)c(OC)cc12,CCCc1c(C)[nH]c2cc(OC)c(OC)cc12
CNC1COc2cccc(C)c2C1,CNC1COc2cccc(C)c2C1
CCC(C)=O,CCC(C)=O
CCc1ccc(C(C)=O)cn1,CCc1ccc(C(C)=O)cn1
Cc1ccnc(C)n1,Cc1ccnc(C)n1
Cc1ccc(C#N)c(C(F)(F)F)c1,Cc1ccc(C#N)c(C(F)(F)F)c1
CNc1ccc(Cl)c([N+](=O)[O-])c1,CNc1ccc(Cl)c([N+](=O)[O-])c1
CN(C)Cc1ccccc1,CN(C)Cc1ccccc1
Cc1ccc2nc(C)[nH]c2c1,Cc1ccc2nc(C)[nH]c2c1
Cc1ccc(C#N)c(C(F)(F)F)c1,Cc1ccc(C#N)c(C(F)(F)F)c1
Cc1ccc(C#N)c(C(F)(F)F)c1,Cc1ccc(C#N)c(C(F)(F)F)c1
CC(C)c1ccc(Cl)c(Cl)c1,CC(C)c1ccc(Cl)c(Cl)c1
Cc1ccccc1[N+](=O)[O-],Cc1ccccc1[N+](=O)[O-]
CNc1cccc([N+](=O)[O-])c1,CNc1cccc([N+](=O)[O-])c1
CCc1ccc2c(c1)c1ccccc1n2CC,CCc1ccc2c(c1)c1ccccc1n2CC
Cc1ccc2c(N)n[nH]c2c1,Cc1ccc2c(N)n[nH]c2c1
COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(C)CC1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(C)CC1
Cc1ccc(F)cc1,Cc1ccc(F)cc1
Cc1ccc2c(N)n[nH]c2c1,Cc1ccc2c(N)n[nH]c2c1
