DRUG SMILES,FRAG_SMILES
CNC(=O)Nc1cc(Oc2cncc(OC)c2)c(C2CCCOC2)cn1,CNc1cc(C)c(C2CCCOC2)cn1
Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1.Cl,Cc1ccc2ccccc2c1
Cc1cc(CC(=O)N2CC(O)CC2C(=O)NCc2ccc(-c3ocnc3C)cc2)on1,CC(=O)Cc1cc(C)no1
[H]c1c([H])c(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)c([H])c([H])c1Cl,CCCCC(=O)c1ccc(F)cc1
CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(=O)CCc1ccccc1,CCCC1C(O)CC(O)C1CC
O=C(C=Cc1ccc(Cc2nc3ccccc3[nH]2)cc1)NO,CCc1ccc(Cc2nc3ccccc3[nH]2)cc1
CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O,CCCCN1c2ccccc2Sc2ccc(Cl)cc21
Cl.Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,Cc1cnc(N)cc1C(F)(F)F
CC(C)(C)OC(=O)NC(Cc1ccccn1)C(=O)O,CNC(Cc1ccccn1)C(C)=O
CC(C)(C)OC(=O)NC(C(=O)O)C1CCCCC1,COC(C)(C)C
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,Cc1c(Cl)cccc1Cl
CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC,CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(C)C(C)=O
CCC(O)C(C)C1OC1CC(C)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)C=CC1C,CCC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC)C=CC1C
Cc1ccc(S(=O)(=O)ONC(=O)OC(C)(C)C)cc1,CNOS(=O)(=O)c1ccc(C)cc1
CN(C(=O)OCC1c2ccccc2-c2ccccc21)C(Cc1ccccc1)C(=O)O,CCC1c2ccccc2-c2ccccc21
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(CS)C(C)O,CNC(CS)C(C)O
[H]C([H])([H])Oc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,COc1c(C)cnc(CS(=O)c2nc3ccc(C)cc3[nH]2)c1C
O=C([O-])c1ccc(C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)c(C(=O)O)c1,CO
CC1=NC(=Cc2cc(F)c(O)c(F)c2)C(=O)N1C,CC1=NC(C)C(=O)N1C
CC(C)(C)OC(=O)C(N)CSSCC(N)C(=O)OC(C)(C)C.Cl.Cl,CC(=O)C(N)CSSCC(N)C(C)=O
